Date;AMZN;NFLX;PFE;AAPL;NKE
24/01/2017;822.440002;140.110001;25.159119;28.363052;51.122952
25/01/2017;836.520020;139.520004;25.272194;28.814610;51.515110
26/01/2017;839.150024;138.960007;25.264120;28.828796;51.314251
27/01/2017;835.770020;142.449997;25.377195;28.831160;50.874275
30/01/2017;830.380005;141.220001;25.288347;28.755507;50.769077
31/01/2017;823.479980;140.710007;25.627575;28.689308;50.596901
01/02/2017;832.349976;140.779999;25.839710;30.438799;50.711685
02/02/2017;839.950012;139.199997;25.888662;30.386791;50.501255
03/02/2017;810.200012;140.250000;26.182394;30.516821;50.080414
06/02/2017;807.640015;140.970001;26.296619;30.802887;50.501255
07/02/2017;812.500000;144.000000;26.174232;31.096045;50.510818
08/02/2017;819.710022;144.740005;26.223183;31.216612;51.534233
09/02/2017;821.359985;144.139999;26.419001;31.442188;52.901981
10/02/2017;827.460022;144.820007;26.394524;31.370947;53.772366
13/02/2017;836.530029;143.199997;26.606663;31.648762;53.648026
14/02/2017;836.390015;140.820007;26.720882;32.059544;53.992344
15/02/2017;842.700012;142.270004;27.340973;32.175884;54.174076
16/02/2017;844.140015;142.009995;27.430721;32.137894;53.839310
17/02/2017;845.070007;142.220001;27.430721;32.225754;54.279282
21/02/2017;856.440002;142.600006;27.430721;32.458447;54.862728
22/02/2017;855.609985;143.860001;27.406246;32.555794;55.704418
23/02/2017;852.190002;142.779999;27.789726;32.418076;54.891426
24/02/2017;845.239990;143.250000;27.952898;32.448948;55.340961
27/02/2017;848.640015;143.410004;27.969221;32.513054;55.178360
28/02/2017;845.039978;142.130005;27.838676;32.527302;54.671436
01/03/2017;853.080017;142.649994;28.083452;33.192142;55.427040
02/03/2017;848.909973;139.529999;28.156879;32.995064;55.455830
03/03/2017;849.880005;139.139999;28.165035;33.189762;54.400429
06/03/2017;846.609985;141.940002;28.026333;33.085289;54.467606
07/03/2017;846.020020;141.429993;27.732613;33.128029;54.256523
08/03/2017;850.500000;140.320007;27.667337;33.004562;54.218143
09/03/2017;853.000000;140.529999;27.781561;32.928577;54.074230
10/03/2017;852.460022;140.889999;27.830519;33.037796;54.141388
13/03/2017;854.590027;143.520004;27.830519;33.052044;54.371658
14/03/2017;852.530029;143.190002;27.920267;33.002182;54.956909
15/03/2017;852.969971;145.250000;28.254789;33.351227;55.321503
16/03/2017;853.419983;144.389999;28.091606;33.405842;55.263935
17/03/2017;852.309998;145.110001;28.001856;33.239635;55.455830
20/03/2017;856.969971;145.830002;28.050808;33.588676;56.300133
21/03/2017;843.200012;142.419998;27.944742;33.204002;55.657303
22/03/2017;848.059998;142.649994;28.124235;33.579170;51.733189
23/03/2017;847.380005;141.839996;27.977377;33.460449;53.124378
24/03/2017;845.609985;142.020004;27.740767;33.393963;54.074230
27/03/2017;846.820007;144.059998;27.887634;33.450958;53.661671
28/03/2017;856.000000;145.169998;27.871307;34.144287;54.323685
29/03/2017;874.320007;146.470001;28.010017;34.220264;54.381241
30/03/2017;876.340027;148.059998;28.026333;34.175156;53.767204
31/03/2017;886.539978;147.809998;27.912109;34.111042;53.469780
03/04/2017;891.510010;146.919998;27.936584;34.120541;53.306679
04/04/2017;906.830017;145.500000;28.018179;34.374607;52.807762
05/04/2017;909.280029;143.619995;27.895792;34.196522;52.750202
06/04/2017;898.280029;143.740005;27.830519;34.111042;52.903702
07/04/2017;894.880005;143.110001;27.822355;34.035061;52.874924
10/04/2017;907.039978;143.850006;27.773403;33.994701;52.673443
11/04/2017;902.359985;144.350006;27.683655;33.629044;52.692631
12/04/2017;896.229980;143.830002;27.675495;33.669403;53.316269
13/04/2017;884.669983;142.919998;27.642859;33.491325;53.095596
17/04/2017;901.989990;147.250000;27.740767;33.676521;53.959095
18/04/2017;903.780029;143.360001;27.610220;33.526943;53.834366
19/04/2017;899.200012;139.759995;27.422564;33.403461;53.594498
20/04/2017;902.059998;141.179993;27.528633;33.821369;54.112602
21/04/2017;898.530029;142.869995;27.447042;33.780998;53.584908
24/04/2017;907.409973;143.830002;27.528633;34.106297;53.220325
25/04/2017;907.619995;152.160004;27.544949;34.317619;53.201134
26/04/2017;909.289978;150.169998;27.618383;34.115788;52.922894
27/04/2017;918.380005;153.080002;27.626537;34.141903;53.220325
28/04/2017;924.989990;152.199997;27.675495;34.108673;53.162758
01/05/2017;948.229980;155.350006;27.561270;34.804371;52.759789
02/05/2017;946.940002;156.449997;27.422564;35.025200;52.836540
03/05/2017;941.030029;155.589996;27.308336;34.918350;52.318439
04/05/2017;937.530029;157.250000;27.292019;34.792503;52.260880
05/05/2017;934.150024;156.600006;27.316496;35.369492;51.761967
08/05/2017;949.039978;156.380005;27.292019;36.331139;52.097771
09/05/2017;952.820007;157.460007;27.234903;36.563831;52.663837
10/05/2017;948.950012;160.279999;27.210192;36.390495;52.347225
11/05/2017;947.619995;158.539993;27.218428;36.705208;52.040207
12/05/2017;961.349976;160.809998;27.193722;37.217823;52.001835
15/05/2017;957.969971;160.020004;27.284338;37.122452;51.589264
16/05/2017;966.070007;159.410004;26.855955;37.067619;50.639416
17/05/2017;944.760010;153.199997;26.551151;35.823048;49.699158
18/05/2017;958.489990;155.699997;26.542913;36.369038;49.584030
19/05/2017;959.840027;157.020004;26.740623;36.493019;49.670387
22/05/2017;970.669983;157.160004;26.460533;36.714752;49.478485
23/05/2017;971.539978;157.949997;26.477005;36.669449;50.082947
24/05/2017;980.349976;157.750000;26.402870;36.559772;49.900646
25/05/2017;993.380005;163.050003;26.493486;36.686138;50.226849
26/05/2017;995.780029;162.429993;26.477005;36.624149;50.457127
30/05/2017;996.700012;163.220001;26.468769;36.638451;50.773739
31/05/2017;994.619995;163.070007;26.897148;36.421490;50.840900
01/06/2017;995.950012;162.990005;26.946573;36.521626;50.349915
02/06/2017;1006.729980;165.179993;26.806530;37.062847;51.004559
05/06/2017;1011.340027;165.059998;26.650007;36.700447;51.033443
06/06/2017;1003.000000;165.169998;26.419340;36.824417;50.523193
07/06/2017;1010.070007;165.610001;26.361679;37.043770;51.245235
08/06/2017;1010.270020;165.880005;26.155727;36.953171;51.216370
09/06/2017;978.309998;158.029999;26.996002;35.520245;51.466663
12/06/2017;964.909973;151.440002;26.938337;34.671463;52.015411
13/06/2017;980.789978;152.720001;26.839483;34.950420;52.284977
14/06/2017;976.469971;152.199997;26.930103;34.609474;52.621929
15/06/2017;964.169983;151.759995;27.028955;34.402042;50.927547
